text,label
The company faces significant legal challenges.,0
Revenue declined 18% compared to the same period last year.,0
The firm reported its worst quarterly loss in a decade.,0
Operating margins compressed due to rising input costs.,0
The company announced the closure of two manufacturing plants.,0
Debt levels increased significantly raising solvency concerns.,0
The firm lost a major contract worth EUR 30 mn annually.,0
The company credit rating was downgraded by S&P.,0
Market share declined as competition intensified.,0
The firm reported a EUR 20 mn impairment charge.,0
Cash burn accelerated threatening liquidity position.,0
The company missed analyst earnings estimates by a wide margin.,0
The board suspended dividend payments due to financial pressures.,0
The company reported declining sales in its core markets.,0
Restructuring charges weighed heavily on profitability.,0
The firm reported a 30% drop in operating income.,0
Write-downs of EUR 15 mn impacted the annual results.,0
Customer churn increased significantly during the quarter.,0
The company withdrew its full-year guidance.,0
Rising costs eroded profit margins across all segments.,0
The firm reported a net loss attributable to one-time charges.,0
The company share price fell 25% following the earnings announcement.,0
Significant goodwill impairments reduced net assets.,0
The company faced supply chain disruptions that hurt production.,0
The firm reported declining demand for its key products.,0
Net debt rose sharply limiting financial flexibility.,0
The company recorded provisions for potential legal liabilities.,0
Operating cash flow turned negative for the first time.,0
The firm reported an unexpected loss for the third quarter.,0
The company is under investigation by regulatory authorities.,0
Revenue from international operations fell sharply.,0
The firm announced it would exit unprofitable business units.,0
Shareholder equity declined due to accumulated losses.,0
The company reported a 40% decline in orders year over year.,0
The firm faces intense pricing pressure from competitors.,0
Inventory write-offs resulted in a significant earnings hit.,0
The company posted losses for the fifth consecutive quarter.,0
Management cited macroeconomic headwinds for the poor performance.,0
The company debt-to-equity ratio reached an alarming level.,0
The firm reported deteriorating financial conditions.,0
Operating expenses grew faster than revenues hurting profitability.,0
The company lost several key clients during the period.,0
Product recalls resulted in substantial costs and reputation damage.,0
The company will publish its annual results in February.,1
The board of directors met to discuss strategic priorities.,1
The firm operates in the technology and financial services sectors.,1
"The company has approximately 5,000 employees worldwide.",1
The annual general meeting is scheduled for April.,1
The company headquarters are located in Helsinki Finland.,1
The firm provides IT services to clients across Europe.,1
The company announced the appointment of a new Chief Financial Officer.,1
The board approved the annual report for submission.,1
The company operates through three business segments.,1
The firm is listed on the Helsinki Stock Exchange.,1
The company produces a range of industrial equipment.,1
Results for the third quarter will be released next month.,1
The company serves clients in more than 40 countries.,1
The firm signed a memorandum of understanding with a partner.,1
The company fiscal year ends on December 31.,1
The management team presented its strategy to investors.,1
The company completed a routine audit of its financial statements.,1
The firm updated its corporate governance policies.,1
The company maintained its existing credit facilities.,1
The annual report is available on the company website.,1
The firm operates manufacturing plants in Germany and Poland.,1
The company provides logistics services to retail customers.,1
The board nominated three new independent directors.,1
The firm announced no changes to its existing dividend policy.,1
The company participated in an industry conference this week.,1
The firm disclosed its related party transactions as required.,1
The company renewed its existing banking facilities for two years.,1
The management commented on general industry conditions.,1
The firm updated its sustainability reporting framework.,1
The company complies with all applicable regulatory requirements.,1
The board of directors has seven members.,1
The company will hold a capital markets day in November.,1
"The firm employs around 1,200 people in its Finnish operations.",1
The company provides quarterly updates to shareholders.,1
The firm is currently reviewing its asset portfolio.,1
The company did not provide specific financial guidance.,1
The annual results will include an independent auditor report.,1
The firm operates under the regulatory oversight of the FSA.,1
The company interim report covers the period January to June.,1
The board considered various strategic options during the meeting.,1
The firm maintained its existing capital allocation priorities.,1
The company distributes its products through established retail channels.,1
The management team has been stable for the past three years.,1
The firm issued a press release regarding routine operational matters.,1
The company product portfolio includes both hardware and software.,1
The firm publishes its results in accordance with IFRS standards.,1
The company does not comment on market speculation.,1
The firm expects to release its next trading update in January.,1
